"","TeamB","Bgmean","BgSD","Bgskew","Bogmean","BogSD","Bogskew","Bwins","Bties","Year"
"31","HapPT","0.588235294117647","0.795206225564457","0.782025732340168","1.76470588235294","1.67814673690599","1.61844184839435","0.176470588235294","0.235294117647059","2009"
"32","HapRa","0.666666666666667","0.76696498884737","1.31349855867787","1.72222222222222","1.27443438690893","0.654752209861685","0.0555555555555556","0.333333333333333","2009"
"33","HapRG","1.23529411764706","1.67814673690599","2.33967307925314","1.29411764705882","1.159994928995","0.36069252293626","0.294117647058824","0.235294117647059","2009"
"34","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"35","HapRS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"36","HapTA","2.05882352941176","1.47777654921567","0.0151369426728853","0.529411764705882","0.624264272846798","0.622473302533309","0.705882352941177","0.294117647058824","2009"
"37","MacAN","0.888888888888889","0.900254139862666","0.656149069261536","2.27777777777778","1.48742001487596","0.359109496621878","0.166666666666667","0.277777777777778","2009"
"38","MacHa","2.17647058823529","1.55061657565817","0.38717623859941","0.588235294117647","0.712287119900726","0.686017588624502","0.705882352941177","0.0588235294117647","2009"
"39","MacNa","1.17647058823529","1.18507880105328","0.530519186770913","1.76470588235294","1.20049009599756","0.0169410367076121","0.176470588235294","0.294117647058824","2009"
"40","MacPT","1.47058823529412","1.28051000868909","0.649693807503723","1.47058823529412","0.874474632195206","0.0840080050420731","0.352941176470588","0.352941176470588","2009"
"41","MacTA","1.35294117647059","1.36661884182223","0.498095941823264","1.05882352941176","1.14403825522216","0.601104989963227","0.411764705882353","0.235294117647059","2009"
"42","MemAs","0.722222222222222","0.826442094733631","1.08871246730058","1.44444444444444","0.983524408155643","0.846360031515034","0.166666666666667","0.333333333333333","2009"
"43","BeiYe","0.705882352941177","0.919558717697852","1.01146755321609","1.41176470588235","1.27763568405726","0.438596543569579","0.176470588235294","0.235294117647059","2010"
"44","BneSa","0.555555555555556","0.783823376129674","0.86594721761039","1.27777777777778","1.17851130197758","1.11796201019598","0.222222222222222","0.222222222222222","2010"
"45","BneTA","1","1.02899151085505","1.22378002731321","1.16666666666667","1.04318516770401","0.27731346097069","0.333333333333333","0.277777777777778","2010"
"46","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2010"
"47","HapAc","1.35294117647059","0.931475742477242","0.185863858714894","1.82352941176471","1.28623938856882","0.141180325463198","0.235294117647059","0.352941176470588","2010"
"48","HapAs","0.833333333333333","1.15044748327106","1.17971629807179","2.16666666666667","1.50489397711365","0.124973048554493","0.222222222222222","0.0555555555555556","2010"
"49","HapBS","1.41176470588235","1.17573506419451","0.524483098431189","1.41176470588235","1.41681083464818","0.91291877416325","0.352941176470588","0.352941176470588","2010"
"50","HapHa","1.1875","1.16726175299288","0.369343881210133","1.375","1.40830867828517","0.977560497922555","0.375","0.25","2010"
"51","HapKS","1.5","1.38266579688743","0.504413936473963","1.5","1.15044748327106","0.109458213223156","0.333333333333333","0.277777777777778","2010"
"52","HapPT","1.17647058823529","1.13111085429585","0.409289605247524","1.82352941176471","1.13111085429585","-0.409289605247524","0.235294117647059","0.235294117647059","2010"
"53","HapRa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2010"
"54","HapRG","0.611111111111111","0.849836585598797","0.758762710876507","1.94444444444444","1.43372087784044","0.4303140821568","0.0555555555555556","0.277777777777778","2010"
"55","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2010"
"56","HapRS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2010"
"57","HapTA","1.82352941176471","1.33394593769983","0.450192082535289","1.05882352941176","0.826936230559385","0.526960730301988","0.529411764705882","0.235294117647059","2010"
"58","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2010"
"59","MacHa","1.70588235294118","0.919558717697852","0.103659718186742","0.764705882352941","1.03255821656129","1.72389916742791","0.705882352941177","0.235294117647059","2010"
"60","MacNa","1.16666666666667","1.15044748327106","0.790531539945012","1.27777777777778","1.17851130197758","0.710668504232525","0.333333333333333","0.333333333333333","2010"
"61","MacPT","1.5625","1.15289490703475","0.346999433226125","1.125","0.806225774829855","-0.201258283287778","0.4375","0.3125","2010"
"62","MacTA","1.47058823529412","1.28051000868909","0.313504890102513","1.29411764705882","1.26316595714661","0.526554131208358","0.529411764705882","0.176470588235294","2010"
"63","MemAs","0.882352941176471","0.857492925712544","0.203377145674881","1.76470588235294","1.56242646885805","0.55200496593436","0.235294117647059","0.294117647058824","2010"
"64","BeiYe","0.666666666666667","0.840168050416806","1.18656449712929","1.5","1.15044748327106","0.109458213223156","0.333333333333333","0.111111111111111","2011"
"65","BneSa","1.44444444444444","1.04161764590537","-0.00849660690015702","1.61111111111111","1.57699971609863","0.52954576775653","0.333333333333333","0.277777777777778","2011"
