SeasonRank,TeamName,Games,MisGames,WinsPG,TiesPG,LosesPG,GoalsPG,OpGoalsPG,GoalDifPG,PointsPG,Year
12,MacPT,33,0,0.24242424242424243,0.2727272727272727,0.48484848484848486,1.7272727272727273,1.1818181818181819,-0.5454545454545454,1.0,2013
13,HapRS,33,0,0.2727272727272727,0.18181818181818182,0.5454545454545454,1.7878787878787878,0.8787878787878788,-0.9090909090909091,1.0,2013
14,BneTA,33,0,0.21212121212121213,0.30303030303030304,0.48484848484848486,1.3636363636363635,0.9696969696969697,-0.3939393939393939,0.9393939393939394,2013
1,MacTA,26,0,0.6538461538461539,0.19230769230769232,0.15384615384615385,0.7692307692307693,2.0384615384615383,1.2692307692307692,2.076923076923077,2014
2,HapBS,26,0,0.5384615384615384,0.2692307692307692,0.19230769230769232,0.9230769230769231,1.8076923076923077,0.8846153846153846,1.8846153846153846,2014
3,HapKS,26,0,0.5,0.3076923076923077,0.19230769230769232,1.0384615384615385,1.5384615384615385,0.5,1.8076923076923077,2014
4,BeiYe,26,0,0.38461538461538464,0.38461538461538464,0.23076923076923078,1.1153846153846154,1.4615384615384615,0.34615384615384615,1.5384615384615385,2014
5,MacPT,26,0,0.38461538461538464,0.34615384615384615,0.2692307692307692,1.1538461538461537,1.0769230769230769,-0.07692307692307693,1.5,2014
6,MacHa,26,0,0.4230769230769231,0.15384615384615385,0.4230769230769231,1.1153846153846154,1.4615384615384615,0.34615384615384615,1.4230769230769231,2014
7,HapRa,26,0,0.34615384615384615,0.2692307692307692,0.38461538461538464,0.8846153846153846,0.9230769230769231,0.038461538461538464,1.3076923076923077,2014
8,MacNa,26,0,0.34615384615384615,0.23076923076923078,0.4230769230769231,1.7307692307692308,1.4230769230769231,-0.3076923076923077,1.2692307692307692,2014
9,BneSa,26,0,0.2692307692307692,0.34615384615384615,0.38461538461538464,1.4230769230769231,1.2307692307692308,-0.19230769230769232,1.1538461538461537,2014
10,HapTA,26,0,0.3076923076923077,0.2692307692307692,0.4230769230769231,1.2692307692307692,1.0384615384615385,-0.23076923076923078,1.1153846153846154,2014
11,MemAs,26,0,0.23076923076923078,0.34615384615384615,0.4230769230769231,1.5769230769230769,1.1153846153846154,-0.46153846153846156,1.0384615384615385,2014
12,HapHa,26,0,0.2692307692307692,0.19230769230769232,0.5384615384615384,1.5769230769230769,0.7692307692307693,-0.8076923076923077,1.0,2014
13,HapPT,26,0,0.19230769230769232,0.3076923076923077,0.5,1.6538461538461537,1.0769230769230769,-0.5769230769230769,0.8846153846153846,2014
14,HapAc,26,0,0.15384615384615385,0.38461538461538464,0.46153846153846156,1.5,0.7692307692307693,-0.7307692307692307,0.8461538461538461,2014
